year,level,province,zone,nb_children,possession_carte_pct,possession_carte_low,possession_carte_high,carte_ou_document_pct,carte_ou_document_low,carte_ou_document_high,mere_pct,mere_low,mere_high,gardienne_pct,gardienne_low,gardienne_high,certificat_naissance_pct,certificat_naissance_low,certificat_naissance_high,naissance_enregistree_pct,naissance_enregistree_low,naissance_enregistree_high
2022,national,,,81438,63.7,62.6,64.8,65.1,64.0,66.1,96.9,96.7,97.1,3.1,2.9,3.3,41.6,40.5,42.8,29.3,28.2,30.4
2022,province,Bas Uele,,1713,32.3,26.8,38.5,33.5,27.7,39.8,96.3,94.9,97.4,3.7,2.6,5.1,22.4,16.9,28.9,15.1,10.4,21.6
2022,province,Equateur,,3213,91.9,85.2,95.7,92.4,85.6,96.1,96.4,95.0,97.5,3.6,2.5,5.0,33.2,27.3,39.8,16.6,11.6,23.2
2022,province,Haut Katanga,,4108,56.3,52.6,59.9,56.7,53.0,60.3,98.2,97.5,98.7,1.8,1.3,2.5,34.4,30.3,38.8,19.2,16.2,22.6
2022,province,Haut Lomami,,2416,88.3,84.5,91.2,93.8,91.6,95.5,96.4,95.2,97.3,3.6,2.7,4.8,15.3,9.5,23.7,9.6,6.3,14.4
2022,province,Haut Uele,,2254,41.5,34.2,49.3,44.0,36.5,51.9,96.8,94.9,98.0,3.2,2.0,5.1,22.3,18.0,27.4,7.8,5.7,10.5
2022,province,Ituri,,4019,76.9,72.8,80.5,80.2,76.2,83.6,97.6,96.7,98.3,2.4,1.7,3.3,62.6,57.3,67.6,32.5,27.1,38.4
2022,province,Kasai,,3223,67.5,61.1,73.4,68.1,61.7,73.9,98.7,98.1,99.1,1.3,0.9,1.9,14.0,10.9,17.9,7.6,5.5,10.5
2022,province,Kasai Central,,4036,65.2,60.0,70.0,66.0,60.8,70.8,95.3,94.1,96.3,4.7,3.7,5.9,35.1,30.3,40.3,23.8,20.2,27.7
2022,province,Kasai Oriental,,2937,62.7,59.0,66.3,64.1,60.5,67.6,97.4,96.4,98.1,2.6,1.9,3.6,34.5,30.2,39.2,28.0,24.6,31.7
